clean_data,label
"mọi ng tránh xa_shop này đi nhé 😏 nếu cho sao thì một sao thì mình cững ko muốn cho shop . làm_ăn quá tệ_hại , lâij đi bán áo_rách cho mình . vỉa thì nếu gắng_gượng thì có_thể chấp_nhận đc 😥_😣 🤤_😡 cảnh_báo nhé mọi ng",NEG
"đóng_gói sản_phẩm rất đẹp và chắc_chắn , lại còn được kèm theo postcard của namjoon nữa hihi , hi_vọng món sau được tặng kèm postcard của yoongi <3",POS
"trà mùi_vị dễ_chịu , ko gây nôn như những loại khác m đã từng dùng . uống đc 5 ngày ko cân nhưng thấy ng nhẹ đi nên lên đánh_giá cho shop",POS
dày ko y_hình vì nếu y_hình thì chữ nike phải may bằng kim tuyến mình check_mã thì ko có mặt_hàng này dù rất buồn nhưng cx đã nhận hàng rồi và ko biết phải làm_sao 😑 😑,NEG
chất_lượng sản_phẩm tốt đóng_gói sản_phẩm chắc_chắn thời_gian giao hàng nhanh chỉ tiếc dây xanh gắn dây kéo bị ra màu nên e phải cắt bỏ nhưng sản_phẩn khá ổn_hợp với giá tiền,POS
"hàng đẹp_nha , mình mua màu đỏ , chât_liệu k fai voan_lụa , nó là voan thô nên sẽ k nhăn",POS
"được_cái nhỏ gọn , ai cần âm_thanh to thì nên mua con loa xiaomi hình_chữ_nhật , tuy cồng_kềnh nhưng âm_to , phê hơn",POS
"chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh , chất vải thích , hàng giống ảnh , rất oki , đáng tiền",POS
so với giá tiền thì ổn . 52 kg mặc cái rộng cái vừa ? ! ? ! ? ! ? !,NEG
mua của shop nhiều lần mà lần nào cũng ưng hết ý_👍 👍_👍 . chắc phải ủng_hộ shop dài_dài 😅 😅,POS
"chất_lượng tốt so với giá tiền , m dc tặng mã_gg còn có 50 k / bộ 😅 , mọi ng nên đặt màu dâu tây_nha , vải dày vs đường chỉ đẹp hơn ý , bạn nào tròn tròn mặc vừa xinh",POS
"váy rất ưng , vải hơi mỏng nhưng from đc - k có thắt_lưng shop vẫn trả tiền lại đánh_giá cao điều này",POS
tren hinh thi dính ngoc trai tren_vai khi nhan_thi dính ngoc trai o tay ao vai khô cứng mặc rat hầm nong,NEG
"chủ shop nch_cực nhiệt_tình và dễ_thương lắm luôn á , lại còn tự tay viết_thiệp và tặng kèm quà nữa , hihi",POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền rất đáng tiền rất đáng tiền thời_gian giao hàng rất nhanh,POS
"túi thì ok những chỉ buồn cái_là , mình có note là giao 3 cái màu đen mình củng có nt nói , mà shop giao cho mình 3 cái 3 màu khác nhau , nên k vui cho lắm",NEG
"áo nhìn xinkk cực mặc vô_k bị nóng mà_còn mát nữa ~ ~_shop tư_vấn nhiệt_tình_and cute vãi tèooo 💕 giao hàng nhanh , bưu_phẩm nhìn gọn_gàng thích xĩuuuu > <_❤ ️",POS
"mình đặt 3 sp mà chỉ nhận được 2 sp , nt với shop thì bảo kt lại đơn hàng xong im_lặng luôn",NEG
"shop phục_vụ rất kém , chất_lượng sản_phẩm rất kém , kh_rep tin nhắm khách_hàng khi hàng lỗi và muốn đổi lại 😡_😡 mong_shop thấy và rep tin nhắn mình",NEG
"chất_lượng đến kiểu_dáng đều rất đẹp ko uổng công_mình đợi mòn_mỏi đếm từng ngày từng ngày , , mình chụp bị dìm hàng thôi chớ ở ngoài đẹp lắm các bạn cứ yên_tâm mua nhé , , còn được shop tặg kèm quà xinh_xinh nữa cảm_ơn nhìu ạ",POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt thời_gian giao hàng rất nhanh rất đáng tiền,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh_túi hàng màu xanh xịn xò ghê_=))) còn được tặng thêm chiếc vòng siu_đáng iu 😍 😍,POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,POS
"đáng tiền , lau rất sạch , phụ_kiện sẳn có , rẻ , dễ sử_dụng , ko cần biết tiếng trung vẫn xài ok",POS
"chất_lượng vải khá ok , đường may đẹp , mua sườn xám thui mà đc shop tặng quà nữa chứ , iu quá đi 😍",POS
"đóng_gói sản_phẩm chắc_chắn - áo giao có loại thô và loại mềm , loại mềm đẹp giống những shop khác , loại thô khó mặc",POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
"thời_gian giao hàng rất nhanh luôn , từ thái_độ phục_vụ cho tới chất_lượng áo của shop không còn gì để chê ❤",POS
"khi nhận hàng thì lúc đầu bạn sẽ nghĩ "" omg thật tuyệt "" nhưng sau khi soi_kĩ thì sản_phẩm không giống hình chỗ "" cục trên dây_giày "" thành_ra nhìn khá khó_chịu thậm_chí có_thể còn thua những đôi fake khác nhưng_mà bù lại shop phục_vụ khác 1 cách tuyệt_vời ... nên 5 sao phục_vụ vs 4 sao giày làm tròn 5 s nhé",POS
chất_lượng sản_phẩm tuyệt_vời áo cực đẹp luôn í 🔥_❤ còn đượ shop tặng thêm vớ nữa chứ 😎_😎 sẽ ủng_hộ shop dài_dài ❤ ❤,POS
đóng_gói cẩn_thận nhưng vải hơi xấu . mặc thử lột ra bung chĩ sổ lông rồi . áo 2 dây thì k mặc nổi,NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt_shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,NEG
"shop phục_vụ nhiệt_tình , chu_đáo , giao hàng cực nhanh , chất_lượng sản_phẩm tốt y_hình và shop còn rất đáng yêu nữa , gửi hẳn_thiệp cảm_ơn cơ_😍 tặng kèm cả 2 đôi tất",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền rất đáng tiền chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
cũng mua size l màu trắng như lần trc nhưng dáng lại rộng hơn nhiều so với lần trước : ( hô thất_vọng,NEG
"chất_lượng sản_phẩm tuyệt_vời , đóng_gói sản_phẩm rất đẹp và chắc_chắn , shop phục_vụ rất tốt , rất đáng tiền 👍 👍",POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,POS
chất_lượng sản_phẩm tuyệt_vời áo đẹp giá đẹp ạ . sẽ ủng_hộ lâu_dài a . mình thấy shop nên trả_lời tin_nhắn cho khách nhanh hơn,POS
"màu cực xinh luôn nhé 😻 giày đi êm_chân nh hơi_kích dù đã chọn đúng sz bản_thân hay đi 😓_các bạn hãy đặt đi k đâu bán rẻ như chị lày đâu , khi đặt_hàng các bạn nhớ tăng lên 1 sz nha_👌 🏻_chất da_mềm , nhẹ_nhàng . ❤ ️_❤ ️_💙 bao_giờ giày hỏng sẽ đặt tiếp_🙈 🙉",POS
"áo rộng quá , mình mặc sz áo khác là 38 mà áo này 38 đóng cài khuy trong cùng mà vẫn rộng",POS
shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt,POS
"hàng_ưng lắm cám_ơn shop_nha thấy mẹ mặt ưng_ý vui ghê_quần dài chuẩn_from cả bộ đồng_thanh đẹp hộp hàng y_hình , chỉ tiếc mổi viêc phải chi_shop bán nhìu mẩu đơn_giản vậy thì mua được nhìu ùi . chật_lượng ok vải đẹp",POS
shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh . nhưng hình_dán hơi mờ nhìn ko rõ ảnh,POS
áo kg đúng size . vai tam được . giao hàng nhanh . đóng_gói đẹp . mình mong_la shop đăng đúng kích_cỡ để khỏi phiền_lòng người mua . mình kg vừa_ý nhưng cũng kg có ý_định đổi hàng . nhưng mình se kg ủng_hộ nữa . nếu_như shop kg tạo cho tôi có lòng tin . dù_sao cũng cảm_ơn shop . so với số tiền thì cũng tạm đuoc,NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời,POS
"con đầu thì ngon , nhưng con sau vỏ bị móp méo tùm_lum nha bạn , nhưng vẫn cho 5 sao",POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh.em chuc shop chi buon may ban dat.se ung_ho chi_lau dai,POS
giày thì oke đấy nhưng shop có gửi nhầm size cho mình thì phải size 36 như 38 mang đút 3 ngón tay vô được mong shop lần sau cân_nhắc kĩ_size nhé vẫn cho shop 5 sao để lần sau shop chú_ý hơn,POS
"lần đầu mua xài ok , mua cái nữa xài kg dc , nt_chat với shop cũng hok trả_lời , thất_vọng ! !",NEG
"chiều ngang áo tầm 2 gang tay rưỡi , 1 m58 , nặng 42 kg mặc hơi bị rộng , xém_tý là rộng lố",NEG
chất_lượng sản_phẩm rất kém chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém_shop phục_vụ rất kém rất không đáng tiền thời_gian giao hàng rất chậm,NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt cực_kì chuyên_nghiệp rất đáng tiền thời_gian giao hàng rất nhanh sẽ ủng_hộ dài2,POS
"hàng shop đẹp lắm ạ , đóng_gói sản_phẩm rất đẹp và chắc_chắn , còn tặng kèm 2 đôi vớ nữa ^ ^",POS
xấu . giày mắc tiền mà nhận hàng thất_vọng giày bị lỗi tùm_lum .. nt cho shop mà cả thang moi_tra loi thi sao ll dc,NEG
"shop làm_ăn rất vớ_vẩn , biết là gửi ngẫu_nhiên nhưng đặt 5 c mà shop gửi cho 5 c giống nhau , mẫu cx k đẹp",NEG
làm rẻ_lau cũng k xong mất niềm tin về mua hàng ol đúng là nói hay nhưng hàng trả ra gì,NEG
"tưởng hàng order đợi lâu nhưng giao nhanh hơn mình nghĩ , áo mặc đẹp vô_cùng ưng_ý . 5 * ☺ ️",POS
"sp đẹp vải tốt , dày cực_kỳ , cầm nặg tay luôn . chị bạn vô_cùng dễ_thương . sẽ ủng_hộ lnầ sauu",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh_shop phục_vụ rất tốt rất đáng tiền chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời,POS
chat_lượng kg vừa ý lắm nhung cũng vừa túi_tiền đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
"khi thấy cái váy này , mình đã quyết_tâm giảm 14 kí , để được mặc em nó , sau 4 tháng thì mọi quyết_tâm của mình đã thành_công , fai nói là siêu_sung_sướng khi khoác lên mình cái váy quá dễ_thương như_vậy , vải mặc mát , thoải_mái và rất đẹp , nhìn cưng kinh_khủng , chủ_shop lại quá đáng iu , cho 10 sao luôn",POS
"áo rất đẹp vượt ngoài mong_đợi , vải đẹp ko_nhăn , vì là vai_voan nên hơi mỏng nhưng nếu mặc áo trong ko qua nổi thì vẫn an_toàn nhé m . n , shop rất nhiệt_tình với khách",POS
chất_lượng hợp với giá tiền có cái bị rách_shop phục_vụ rất kém giao sai màu cho khách nt ns vs_shop thì shop k đk câu xl trả_lời mỗi câu ok,NEG
"chất_lượng sản_phẩm tuyệt_vời . tuy_nhiên , có mấy hình bị chừa đoạn trắng nhiều quá và có 1 vài hình bị ám_màu tím . còn lại , nhìn_chung đẹp , rẻ",POS
"shop thật có tâm khi đóng_gói thật kỹ từ hà_nội vào cà_mau k thiếu món gì , k món nào bị hư_hỏng hay vỡ ..",POS
đặt 4 đôi mà giao 3 đôi . nt hỏi thì k_tl . phải chi láy tiền 3 đôi thì k nói gì đằng này láy tiền hết 4 đôi . giày đóng_gói thì móp đầu này đầu kia . shop làm_ăn kì_cục . ăn nhiu tiền đó của tao chắc mày giàu à :)) cô_hồn tháng 7 là có thật đấy máy chị ạ,NEG
áo ngắn mỏng_vãi nóng thô_ko giống trong hình lắm mình 48 kg mà mặc vào thấy áo ngắn ko như hình,NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt . tuy hơi rộng nhưng rất ưng !,POS
"so vs giá đó thì chất_lượng sp đã quá ok , ngoài sự mong_đợi , mình đặt 3 sp nhưng shop chỉ giao đc 2 vì hết hàng nhưng shop cũng đã kèm phong_thư trả lại tiền và xl vì sự_cố nên rất hài_lòng . cảm_ơn shop :)",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền thời_gian giao hàng rất nhanh cho 10 ⭐ ️_⭐ ️_⭐ ️_⭐ ️,POS
"vải rất đẹp , sản_phẩm giống hình_ko nhăn còn đc shop thêm qua nữa , chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh",POS
hàng vải đẹp ạ giao hàng nhanh nữa 😘 được tặng tất cũng đẹp cơ_🤩 mặc lên ôm người lắm ạ,POS
"sản_phẩm tốt , nhưng đơn_vị vận_chuyển_giao hàng nhanh rất thích lưu_kho , đề_nghị shop bật giao hàng tiết_kiệm để lần sau ủng_hộ tiếp",POS
"chất_lượng ok , khí_hậu lạnh lạnh mặc là đúng bài 😁 quần_ít co_giãn nên bé em mình vòng 3 hơi to nên bị kích chút_xíu , có 1 quần thì túi bị thủng 😂 với giá tiền vậy thì cũng chấp_nhận được",POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền rất đáng tiền thời_gian giao hàng rất nhanh rất đáng tiền,POS
"sản_phẩm rất tốt , chất_liệu vải ok , giao hàng rất nhanh , a giao hàng rất tử_tế và lịch_sự vui_tính",POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền mk có video mà k đăng_đk mùi hơi ghê nhưng chống nước tốt lắm,POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh,POS
freesize từ s tới l đều bận_dc mà mình mặc vô_tưởng đầm body ko_hà trong khi mình có 47 kg : ( ( (,NEG
"chất_lượng sản_phẩm kém , giao sp lỗi , mình chấp_nhận ko đổi trả nhưng chắc mình ko bao_h dám mua sp của shop nữa",NEG
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh bạn nào có ý_định mua thì mua ngay đi nhá còn được tặng mask nữa,POS
"chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh , lần sau mình sẽ ủng_hộ shop nữa ah",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền rất đáng tiền,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn . túi đẹp y_như hình . chỉ là dây đeo và dánh túi hơi cứng hơn so với tưởng_tượng . với giá như_vậy được túi như thế_này là trên cả tuyệt với,POS
đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh,POS
